Age,M,F
0-4,61228414,55651093
5-9,61877169,56104958
10-14,66302628,59853324
15-19,66670854,59374711
20-24,64865811,57638993
25-29,62039339,55357930
30-34,58874888,53301210
35-39,53993918,49466260
40-44,46631243,43588651
45-49,40756605,38683675
50-54,35202663,33673299
55-59,30150272,29105996
60-64,24694672,24195856
65-69,19168129,19092154
70-74,11627908,12463535
75-79,7062999,8020956
80-84,3831463,4657548
85-89,1575584,1955555
90-94,437188,555797
95-99,91981,131216
100+,17241,30698
